Date	Time	Pace	FinisherCount	Females	Males	AverageTime	AveragePace	Notes
11/25/2010	0:59:01	571	10757	5488	5255	4002	644	Ran with Katelyn Kramer
11/24/2011	0:58:55	571	13884	7518	6279	4111	661	
11/22/2012	0:56:01	542	14862	8081	6770	4194	675	
11/28/2013	0:59:39	578	14259	7790	6469	4213	678	
11/27/2014	0:48:50	473	13284	7319	5914	4239	682	Year I ran the half marathon
11/26/2015	0:55:10	534	13627	7323	5889	4348	699	Ran with Luke, Connor
11/26/2016	1:06:41	646	12155	6672	5480	4336	698	Ran with Tessa, Luke
11/23/2017	1:13:39	529	11101	5970	5131	4419	711	Ran by myself
11/22/2018			10307	5497	4741	4443 716	I was in St. Louis
11/28/2019	1:59:13	8244	8556	4560	3995	4381	707	I had shoulder surgery and walked.
