Date	Weight	Goal
12/16/2018		165
11/16/2018		165
10/16/2018		165
09/16/2018		165
08/16/2018		165
07/16/2018		165
06/16/2018		167.5
05/16/2018		170
04/16/2018		175
03/16/2018	180.7	165
03/13/2018	181.6	165
03/12/2018	183.3	165
03/11/2018	181.6	165
03/02/2018	182.4	165
02/26/2018	180.4	165
02/22/2018	176.8	165
02/11/2018	178.6	165
02/10/2018	180.2	165
02/08/2018	183.5	165
11/07/2017	184.1	165
09/22/2017	182	165
09/17/2017	183.9	165
09/14/2017	180.6	165
09/13/2017	182.3	165
09/11/2017	181.8	165
09/08/2017	182.8	165
09/07/2017	182.7	165
09/06/2017	185.3	165
09/05/2017	185.3	165
08/24/2017	180.9	165
08/16/2017	182.3	165
08/14/2017	184.7	165
08/05/2017	181.4	165
07/28/2017	183.5	165
07/12/2017	183.5	165
07/06/2017	183.7	165
06/27/2017	183.1	165
06/25/2017	184.5	165
06/11/2017	185.6	165
06/07/2017	189.3	165
03/12/2017	193.4	165
01/23/2017	187	165
01/15/2017	191.7	165
12/18/2016	175.2	165
11/22/2016	174.6	165
11/14/2016	175.6	165
11/11/2016	176.4	165
11/10/2016	174.9	165
11/08/2016	176	165
10/30/2016	179.1	165
10/21/2016	180	165
10/05/2016	177.1	165
08/13/2016	176.8	165
08/09/2016	178	165
07/15/2016	183	165
06/22/2016	177.2	165
04/26/2016	180.2	165
04/23/2016	179.5	165
04/18/2016	181.7	165
04/10/2016	184.1	165
03/31/2016	178.9	165
03/20/2016	184.2	165
03/14/2016	182	165
03/13/2016	182	165
02/01/2016	182.9	165
01/28/2016	182.3	165
01/26/2016	183	165
01/13/2016	181.6	165
01/12/2016	182.3	165
01/05/2016	180.4	165
01/04/2016	182.3	165
12/30/2015	185.4	165
12/29/2015	184.2	165
12/28/2015	186.8	165
12/19/2015	180.8	165
11/07/2015	183.7	165
11/06/2015	180	165
11/05/2015	180	165
08/08/2015	175.5	165
06/29/2015	174.4	165
04/26/2015	177.5	165
04/10/2015	175.8	165
04/08/2015	180.1	165
04/03/2015	180.5	165
04/01/2015	177.2	165
03/30/2015	175.8	165
03/16/2015	170.9	165
03/13/2015	173.5	165
03/11/2015	168.5	165
02/27/2015	172.7	165
02/17/2015	174.7	165
02/15/2015	171.3	165
02/14/2015	173.5	165
02/12/2015	171.3	165
02/10/2015	175.6	165
01/13/2015	167.2	165
12/17/2014	172.4	165
12/16/2014	174	165
12/12/2014	175	165
11/14/2014	173.3	165
11/13/2014	173.9	165
11/04/2014	173.9	165
10/26/2014	175	165
10/23/2014	174.6	165
10/16/2014	170.4	165
10/15/2014	172.3	165
10/14/2014	173.7	165
10/12/2014	174.8	165
10/11/2014	172.9	165
10/10/2014	172.2	165
10/09/2014	173	165
10/08/2014	173.8	165
10/04/2014	174.7	165
10/02/2014	174.9	165
10/01/2014	174.9	165
09/30/2014	180	165
09/28/2014	172.9	165
09/27/2014	174.2	165
09/26/2014	175.3	165
09/25/2014	175.6	165
09/23/2014	177.6	165
09/21/2014	176.2	165
09/20/2014	175	165
09/17/2014	176.8	165
09/14/2014	177.7	165
09/13/2014	178.3	165
09/11/2014	176.7	165
09/06/2014	177.6	165
09/05/2014	181.4	165
08/24/2014	181.1	165
08/23/2014	184	165
07/24/2014	181.1	165
07/05/2014	171	165
06/25/2014	179	165
06/24/2014	181	165
05/12/2014	181	165
05/05/2014	182	165
05/02/2014	174.8	165
04/29/2014	180.4	165
04/28/2014	184.5	165
04/17/2014	178.8	165
04/16/2014	179.4	165
04/15/2014	181.4	165
04/14/2014	182.4	165
04/10/2014	187	165
04/01/2014	183.6	165
03/31/2014	182.6	165
03/29/2014	186.6	165
03/26/2014	184.8	165
03/18/2014	184.8	165
03/13/2014	180.8	165
03/11/2014	185.5	165
03/05/2014	181.5	165
03/02/2014	187	165
